=== Strategia 1: from/till rok-po-roku ===
rok 2020 m1 (from/till): 9 rez., 9 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m2 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m3 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m4 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m5 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m6 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m7 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m8 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m9 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m10 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m11 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2020 m12 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m1 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m2 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m3 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m4 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m5 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m6 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m7 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m8 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m9 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
rok 2021 m10 (from/till): 9 rez., 0 nowych | dep: 2026-06-18-2026-10-05 | mod: 2026-06-17 13:17:29-2026-06-17 22:05:05
